1,5,0
2,29,0
3,26,28
4,28,8
5,28,9
6,24,0
7,22,0
8,20,0
9,16,0
10,1,14
11,4,13
12,9,28
13,7,17
14,17,22
15,26,4
16,5,0
17,1,0
18,19,27
19,10,15
20,22,0
21,23,0
22,23,10
23,15,3
24,21,8
25,6,9
26,8,0
27,22,0
28,16,0
29,14,0
30,7,1
31,21,15
32,4,29
33,19,0
34,1,0
35,16,8
36,26,0
37,10,0
38,30,18
39,22,19
40,29,16
41,21,0
42,4,0
43,17,0
44,12,0
45,16,15
46,8,0
47,20,0
48,30,28
49,29,0
50,30,0
51,8,3
52,25,0
53,11,0
54,5,0
55,22,0
56,19,0
57,20,0
58,9,0
59,25,28
60,20,0
61,4,0
62,12,0
63,11,0
64,12,0
65,20,0
66,9,25
67,25,6
68,19,0
69,4,3
70,25,24
71,22,0
72,14,3
73,22,0
74,13,0
75,29,7
76,20,0
77,30,0
78,19,0
79,25,15
80,28,27
81,17,0
82,6,22
83,18,0
84,3,0
85,28,0
86,9,0
87,24,1
88,24,10
89,9,27
90,6,0
91,15,19
92,10,3
93,11,17
94,3,0
95,25,0
96,12,0
97,25,23
98,6,0
99,1,9
100,18,10
101,4,22
102,14,0
103,11,3
104,9,4
105,15,6
106,7,0
107,10,0
108,16,8
109,21,0
110,19,26
111,23,0
112,2,0
113,25,0
114,30,0
115,11,27
116,26,8
117,24,0
118,15,29
119,30,0
120,16,0
121,12,14
122,23,0
123,20,24
124,26,0
125,9,22
126,9,0
127,20,0
128,25,8
129,13,0
130,24,0
131,2,0
132,1,4
133,16,30
134,24,15
135,4,0
136,30,28
137,3,30
138,1,0
139,5,19
140,17,11
141,10,30
142,16,8
143,5,27
144,3,0
145,24,0
146,23,22
147,14,23
148,29,0
149,30,0
150,11,17
151,5,0
152,21,23
153,8,0
154,10,0
155,23,9
156,23,25
157,18,2
158,27,0
159,20,0
160,8,17
161,1,0
162,1,12
163,7,0
164,28,1
165,24,27
166,4,16
167,20,28
168,29,2
169,10,0
170,5,0
171,16,28
172,13,11
173,14,0
174,14,0
175,8,0
176,13,0
177,10,20
178,14,0
179,25,22
180,16,17
181,3,8
182,10,23
183,2,0
184,17,0
185,21,30
186,17,26
187,14,0
188,23,0
